TradeID,Ticker,SignalDate,EntryPrice,StopLoss,TargetPrice,Status,ExitPrice,ExitDate,PnL,Notes,Strategy,EntryDate,UpdatedStopLoss,ATR,TriggerHigh,VWAP,InitialSL
6b993baf,TITAN.NS,2026-01-05,3999.58,3916.37,4166.0,WAITING_ENTRY,,,0.0,STRONG BUY,MTF,,,,,,
bdb7365a,UPL.NS,2026-01-05,783.88,761.37,828.89,WAITING_ENTRY,,,0.0,STRONG BUY,MTF,,,,,,
320842b2,TATASTEEL.NS,2026-01-05,186.88999938964844,185.9555493927002,187.82444938659663,STOP_LOSS_HIT,185.9555493927002,2026-01-05 09:15:00,-0.5000000000000018,Manual | SL Hit,Intraday,2026-01-05 09:55:00,,,,,
8c91ae8c,AXISBANK.NS,2026-01-05,1289.699951171875,1283.2514514160157,1296.1484509277343,STOP_LOSS_HIT,1283.2514514160157,2026-01-05 09:15:00,-0.4999999999999944,Manual | Expired (No Entry) | SL Hit,Intraday,,,,,,
af788226,HINDALCO.NS,2026-01-05,937.9000244140624,933.2105242919922,942.5895245361328,STOP_LOSS_HIT,933.2105242919922,2026-01-05 09:15:00,-0.499999999999985,Manual | Expired (No Entry) | SL Hit,Intraday,,,,,,
18fe6691,ULTRACEMCO.NS,2026-01-05,12114.0,12053.43,12174.569999999998,EXIT_AT_CLOSE,12087.0,2026-01-05 15:30:00,-0.2228826151560178,Manual | Expired (No Entry) | Auto-Squareoff,Intraday,,,,,,
506a8278,CONCOR.NS,2026-01-05,534.0,531.33,536.67,STOP_LOSS_HIT,531.33,2026-01-05 09:15:00,-0.4999999999999924,Manual | Expired (No Entry) | SL Hit,Intraday,,,,,,
841f6068,MARICO.NS,2026-01-05,775.2000122070312,771.3240121459961,779.0760122680663,EXIT_AT_CLOSE,774.6500244140625,2026-01-05 15:30:00,-0.0709478565928951,Manual | Triggered at 09:25:00 | Auto-Squareoff,Intraday,2026-01-05 09:25:00,,,,,
c36b6bf0,OBEROIRLTY.NS,2026-01-05,1757.0999755859375,1748.314475708008,1765.885475463867,STOP_LOSS_HIT,1748.314475708008,2026-01-05 09:15:00,-0.4999999999999834,Manual | Expired (No Entry) | SL Hit,Intraday,,,,,,
c791b347,VOLTAS.NS,2026-01-05,1494.5999755859375,1487.126975708008,1502.0729754638671,STOP_LOSS_HIT,1487.126975708008,2026-01-05 09:15:00,-0.4999999999999805,Manual | Expired (No Entry) | SL Hit,Intraday,,,,,,
89a3908d,WHIRLPOOL.NS,2026-01-05,920.9000244140624,916.295524291992,925.5045245361327,STOP_LOSS_HIT,916.295524291992,2026-01-05 09:15:00,-0.5000000000000054,Manual | Expired (No Entry) | SL Hit,Intraday,,,,,,
2ca79d11,ASIANPAINT.NS,2026-01-05,2815.6,2745.84,2955.12,OPEN,,,0.0,STRONG BUY | Filled at 2026-01-06,MTF,2026-01-06,,,,,
c9adfc3c,AXISBANK.NS,2026-01-05,1266.54,1239.92,1319.78,WAITING_ENTRY,,,0.0,STRONG BUY,MTF,,,,,,
94826514,BPCL.NS,2026-01-05,374.05,362.03,398.11,OPEN,,,0.0,STRONG BUY | Filled at 2026-01-06,MTF,2026-01-06,,,,,
182319e4,COALINDIA.NS,2026-01-05,402.61,391.02,425.81,WAITING_ENTRY,,,0.0,STRONG BUY,MTF,,,,,,
ca2390bf,HEROMOTOCO.NS,2026-01-05,5893.37,5712.88,6254.37,WAITING_ENTRY,,,0.0,STRONG BUY,MTF,,,,,,
b82a4fe9,HINDALCO.NS,2026-01-05,878.31,853.04,928.85,WAITING_ENTRY,,,0.0,STRONG BUY,MTF,,,,,,
12693e6b,MARUTI.NS,2026-01-05,16740.56,16395.05,17431.57,WAITING_ENTRY,,,0.0,STRONG BUY,MTF,,,,,,
424941c7,NTPC.NS,2026-01-05,333.22,325.52,348.62,WAITING_ENTRY,,,0.0,STRONG BUY,MTF,,,,,,
f6ebc364,RELIANCE.NS,2026-01-05,1578.1,1547.96,1638.38,WAITING_ENTRY,,,0.0,STRONG BUY,MTF,,,,,,
b5305203,SBILIFE.NS,2026-01-05,2047.12,2001.44,2138.5,WAITING_ENTRY,,,0.0,STRONG BUY,MTF,,,,,,
17b65aec,SBIN.NS,2026-01-05,986.27,967.9,1023.03,WAITING_ENTRY,,,0.0,STRONG BUY,MTF,,,,,,
cee61d72,TATACONSUM.NS,2026-01-05,1182.1,1151.42,1243.47,OPEN,,,0.0,STRONG BUY | Filled at 2026-01-06,MTF,2026-01-06,,,,,
c85fab49,ABCAPITAL.NS,2026-01-05,355.92,344.75,378.25,WAITING_ENTRY,,,0.0,STRONG BUY,MTF,,,,,,
726fa4c2,ASHOKLEY.NS,2026-01-05,175.98,169.67,188.59,WAITING_ENTRY,,,0.0,STRONG BUY,MTF,,,,,,
8a86ad0d,AUROPHARMA.NS,2026-01-05,1207.4,1171.89,1278.42,WAITING_ENTRY,,,0.0,STRONG BUY,MTF,,,,,,
11763cf3,CANFINHOME.NS,2026-01-05,929.66,889.42,1010.14,WAITING_ENTRY,,,0.0,STRONG BUY,MTF,,,,,,
a089fb3a,CHOLAFIN.NS,2026-01-05,1728.62,1665.91,1854.04,WAITING_ENTRY,,,0.0,STRONG BUY,MTF,,,,,,
611044b7,INDUSTOWER.NS,2026-01-05,423.92,407.81,456.12,WAITING_ENTRY,,,0.0,STRONG BUY,MTF,,,,,,
e0414aaf,JINDALSTEL.NS,2026-01-05,1040.8,1008.42,1105.57,WAITING_ENTRY,,,0.0,STRONG BUY,MTF,,,,,,
6b1563c4,MOTHERSON.NS,2026-01-05,120.58,116.97,127.81,OPEN,,,0.0,STRONG BUY | Filled at 2026-01-06,MTF,2026-01-06,,,,,
9889e545,MUTHOOTFIN.NS,2026-01-05,3828.77,3712.11,4062.11,WAITING_ENTRY,,,0.0,STRONG BUY,MTF,,,,,,
6416f013,NAM-INDIA.NS,2026-01-05,883.89,847.43,956.81,OPEN,,,0.0,STRONG BUY | Filled at 2026-01-06,MTF,2026-01-06,,,,,
a0b01ae8,SAIL.NS,2026-01-05,139.31,133.4,151.14,WAITING_ENTRY,,,0.0,STRONG BUY,MTF,,,,,,
3d960b0a,SRF.NS,2026-01-05,3089.3,3009.09,3249.73,STOP_LOSS_HIT,3009.09,2026-01-06,-2.596381057197424,STRONG BUY | Filled at 2026-01-06 | SL Hit at 2955.0,MTF,2026-01-06,,,,,
b728ea07,SUNTV.NS,2026-01-05,575.56,552.82,621.04,OPEN,,,0.0,STRONG BUY | Filled at 2026-01-06,MTF,2026-01-06,,,,,
52083f35,VOLTAS.NS,2026-01-05,1402.71,1350.3,1507.52,WAITING_ENTRY,,,0.0,STRONG BUY,MTF,,,,,,
8f4434c9,SHRIRAMFIN.NS,2026-01-05,948.65,914.39,1017.17,WAITING_ENTRY,,,0.0,STRONG BUY,MTF,,,,,,
d86c2b93,IOC.NS,2026-01-05,165.01,160.36,174.31,WAITING_ENTRY,,,0.0,STRONG BUY,MTF,,,,,,
c0c42572,ADANIPOWER.NS,2026-01-05,146.2,140.91,156.79,WAITING_ENTRY,,,0.0,STRONG BUY,MTF,,,,,,
3f8d0161,VEDL.NS,2026-01-05,588.53,568.54,628.5,WAITING_ENTRY,,,0.0,STRONG BUY,MTF,,,,,,
e8af5ba4,NMDC.NS,2026-01-05,81.29,78.54,86.8,WAITING_ENTRY,,,0.0,STRONG BUY,MTF,,,,,,
a3f91f5f,DLF.NS,2026-01-05,711.35,692.53,749.0,OPEN,,,0.0,STRONG BUY | Filled at 2026-01-06,MTF,2026-01-06,,,,,
5ceab6fd,AXISBANK.NS,2026-01-06,1295.0999755859375,1288.6244757080078,1308.0509753417969,OPEN,,,0.0,Manual | (Updated) | Risk-Based SL/Target Set (Risk 6.48),Intraday,2026-01-06 09:15:00,,1.8971522008765604,1286.9000244140625,1284.8646343887406,1288.6244757080078
8865421e,BANKBARODA.NS,2026-01-06,311.79998779296875,310.2409878540039,314.9179876708984,WAITING_ENTRY,,,0.0,Manual | (Updated),Intraday,,,0.5798963277977752,307.0,306.92901775877675,
cb05b0e4,HINDALCO.NS,2026-01-06,943.4000244140624,938.6830242919922,952.8340246582032,OPEN,,,0.0,Manual | (Updated) | Risk-Based SL/Target Set (Risk 4.72),Intraday,2026-01-06 09:15:00,,1.412920232384082,932.8499755859376,931.6876421141,938.6830242919922
cb98a79a,OBEROIRLTY.NS,2026-01-06,1757.0999755859375,1748.314475708008,1774.670975341797,WAITING_ENTRY,,,0.0,Manual | (Updated),Intraday,,,3.8182694590405206,1745.9000244140625,1740.8588861577578,
c0bd48a7,VOLTAS.NS,2026-01-06,1479.9000244140625,1472.5005242919922,1494.6990246582031,OPEN,,,0.0,Manual | (Updated) | Risk-Based SL/Target Set (Risk 7.40),Intraday,2026-01-06 09:18:00,,2.928315495236248,1478.5,1475.8299514616474,1472.5005242919922
f76b3948,HAVELLS.NS,2026-01-06,1492.800048828125,1485.3360485839844,1507.7280493164062,OPEN,,,0.0,Manual | (Updated) | Risk-Based SL/Target Set (Risk 7.46),Intraday,2026-01-06 09:15:00,,2.065847370538008,1455.199951171875,1451.0808961279872,1485.3360485839844
501036f2,CGPOWER.NS,2026-01-06,653.2999877929688,650.0334878540039,659.8329876708984,WAITING_ENTRY,,,0.0,Manual | (Updated),Intraday,,,1.0471758608224897,646.3499755859375,644.4534652337079,
51d8dedd,GODREJCP.NS,2026-01-06,1249.0,1242.755,1261.4899999999998,OPEN,,,0.0,Manual | (Updated) | Risk-Based SL/Target Set (Risk 6.25),Intraday,2026-01-06 09:15:00,,1.9567157865903813,1245.199951171875,1242.8075889402924,1242.755
615dc9d8,MARICO.NS,2026-01-06,775.5499877929688,771.6722378540039,783.3054876708984,OPEN,,,0.0,Manual | (Updated) | Risk-Based SL/Target Set (Risk 3.88),Intraday,2026-01-06 09:15:00,,1.6032162074327334,774.7000122070312,773.2032208657885,771.6722378540039
41dfbe59,ULTRACEMCO.NS,2026-01-06,12204.0,12142.98,12326.04,OPEN,,,0.0,Manual | (Updated) | Risk-Based SL/Target Set (Risk 61.02),Intraday,2026-01-06 09:15:00,,17.392164140232914,12091.0,12075.883505002115,12142.98
a6ac2eee,APLAPOLLO.NS,2026-01-05,1873.77,1811.76,1997.78,WAITING_ENTRY,,,0.0,STRONG BUY,MTF,,,,,,
4ea3d900,CANBK.NS,2026-01-05,152.37,147.63,161.87,WAITING_ENTRY,,,0.0,STRONG BUY,MTF,,,,,,
a0aa4b2a,GODREJCP.NS,2026-01-05,1208.99,1177.51,1271.96,WAITING_ENTRY,,,0.0,STRONG BUY,MTF,,,,,,
334c7511,INDHOTEL.NS,2026-01-05,744.2,725.04,782.51,STOP_LOSS_HIT,725.04,2026-01-06,-2.5745767266863853,STRONG BUY | Filled at 2026-01-06 | SL Hit at 720.2999877929688,MTF,2026-01-06,,,,,
04bc01ce,IRCON.NS,2026-01-05,169.88,160.62,188.4,WAITING_ENTRY,,,0.0,STRONG BUY,MTF,,,,,,
b3c930e0,IRFC.NS,2026-01-05,123.11,117.74,133.86,WAITING_ENTRY,,,0.0,STRONG BUY,MTF,,,,,,
985af7b7,NATIONALUM.NS,2026-01-05,300.49,287.49,326.5,WAITING_ENTRY,,,0.0,STRONG BUY,MTF,,,,,,
a2bb0f14,ADANIPOWER.NS,2026-01-06,147.63,142.4,158.1,WAITING_ENTRY,,,0.0,STRONG BUY | (Updated),MTF,,,,,,
33c02e31,APLAPOLLO.NS,2026-01-06,1882.67,1820.11,2007.78,WAITING_ENTRY,,,0.0,STRONG BUY | (Updated),MTF,,,,,,
93647c84,ASHOKLEY.NS,2026-01-06,177.14,170.83,189.76,WAITING_ENTRY,,,0.0,STRONG BUY | (Updated),MTF,,,,,,
9a5e7655,ASIANPAINT.NS,2026-01-06,2845.1,2776.42,2982.45,WAITING_ENTRY,,,0.0,STRONG BUY | (Updated),MTF,,,,,,
628e8f4e,AUROPHARMA.NS,2026-01-06,1216.9,1181.96,1286.79,WAITING_ENTRY,,,0.0,STRONG BUY,MTF,,,,,,
7665e1a7,AXISBANK.NS,2026-01-06,1270.46,1243.69,1324.02,WAITING_ENTRY,,,0.0,STRONG BUY | (Updated),MTF,,,,,,
98a7744e,CANBK.NS,2026-01-06,152.78,148.16,162.03,WAITING_ENTRY,,,0.0,STRONG BUY,MTF,,,,,,
db28a5c1,COALINDIA.NS,2026-01-06,405.36,393.89,428.31,WAITING_ENTRY,,,0.0,STRONG BUY | (Updated),MTF,,,,,,
775aa509,GODREJCP.NS,2026-01-06,1214.53,1182.35,1278.89,WAITING_ENTRY,,,0.0,STRONG BUY | (Updated),MTF,,,,,,
6acfc20c,HEROMOTOCO.NS,2026-01-06,5909.24,5733.39,6260.95,WAITING_ENTRY,,,0.0,STRONG BUY | (Updated),MTF,,,,,,
1aeff63b,HINDALCO.NS,2026-01-06,885.26,857.6,940.57,WAITING_ENTRY,,,0.0,STRONG BUY | (Updated),MTF,,,,,,
2b40bee3,INDHOTEL.NS,2026-01-06,740.75,722.12,778.01,WAITING_ENTRY,,,0.0,STRONG BUY,MTF,,,,,,
